solution status: user interrupt
objective value:                    0.161649605422142
e                                   0.161649605422142 	(obj:1)
f0_0                               -0.577236768087116 	(obj:0)
f0_1                               -0.367625197964008 	(obj:0)
f0_2                               -0.326353466950431 	(obj:0)
f0_3                               -0.310827866634584 	(obj:0)
f0_4                                0.573174388559304 	(obj:0)
A_0                                -0.118152830181439 	(obj:0)
A_1                                 0.144047427337469 	(obj:0)
A_2                                0.0594489229820906 	(obj:0)
A_3                                -0.737681067934087 	(obj:0)
f0_5                                -0.63666199680254 	(obj:0)
B_0                                                -1 	(obj:0)
B_1                                                -1 	(obj:0)
B_2                                 0.268781424044767 	(obj:0)
B_3                                                -1 	(obj:0)
C_0                                -0.251146880832771 	(obj:0)
C_1                                -0.539073281926243 	(obj:0)
C_2                                0.0226052312677768 	(obj:0)
C_3                                 0.355932295783417 	(obj:0)
D_0                                                -1 	(obj:0)
D_1                                                 1 	(obj:0)
D_2                                                -1 	(obj:0)
D_3                                                 1 	(obj:0)
E_0                                -0.422134458377865 	(obj:0)
E_1                                -0.803394020354691 	(obj:0)
E_2                                                 1 	(obj:0)
E_3                                                 1 	(obj:0)
F_0                                 0.999999972333757 	(obj:0)
F_1                                -0.663050872902933 	(obj:0)
F_2                                                 1 	(obj:0)
F_3                                -0.965465478449552 	(obj:0)
G_0                                                 1 	(obj:0)
G_1                                 0.365704520767487 	(obj:0)
G_2                                 -0.92748873223518 	(obj:0)
G_3                                                -1 	(obj:0)
a_0                                -0.197834666044966 	(obj:0)
a_1                               -0.0227470264625344 	(obj:0)
a_2                                 0.619717474169142 	(obj:0)
a_3                               -0.0112888108774043 	(obj:0)
b_0                                 0.117707722033303 	(obj:0)
b_1                                -0.417572043524286 	(obj:0)
b_2                                -0.246889538817259 	(obj:0)
b_3                                -0.295112625021377 	(obj:0)
c_0                                                 1 	(obj:0)
c_1                                -0.838567667591989 	(obj:0)
c_2                                 0.694140133162148 	(obj:0)
c_3                                -0.437250538236472 	(obj:0)
d_0                                                -1 	(obj:0)
d_1                                                -1 	(obj:0)
d_2                                -0.392070147056445 	(obj:0)
d_3                                -0.145871672407473 	(obj:0)
e_0                                                 1 	(obj:0)
e_1                                                -1 	(obj:0)
e_2                                                -1 	(obj:0)
e_3                                                 1 	(obj:0)
f_0                                                 1 	(obj:0)
f_1                                                 1 	(obj:0)
f_2                                                 1 	(obj:0)
f_3                                                 1 	(obj:0)
g_0                                                -1 	(obj:0)
g_1                                                 1 	(obj:0)
g_2                                 0.139195731757248 	(obj:0)
g_3                                                -1 	(obj:0)
f1_0                               -0.722097614487914 	(obj:0)
f1_1                                0.242355830908648 	(obj:0)
f1_2                                 0.28933453514482 	(obj:0)
f1_3                                0.368944711814781 	(obj:0)
f1_4                                0.447218082010262 	(obj:0)
f1_5                               -0.474133347356455 	(obj:0)
f2_0                               -0.429423062484285 	(obj:0)
f2_1                                0.529874520095225 	(obj:0)
f2_2                               -0.113013028782999 	(obj:0)
f2_3                                0.274954329634697 	(obj:0)
f2_4                                0.668174377600099 	(obj:0)
f2_5                                -0.42404232707874 	(obj:0)
f3_0                               -0.578489500641757 	(obj:0)
f3_1                                0.386944488161108 	(obj:0)
f3_2                                0.461923651347102 	(obj:0)
f3_3                                -0.14026892665653 	(obj:0)
f3_4                                0.531577868179645 	(obj:0)
f3_5                               -0.604072476723076 	(obj:0)
f4_0                              -0.0574878232837733 	(obj:0)
f4_1                               -0.233097383002783 	(obj:0)
f4_2                                0.576449821976577 	(obj:0)
f4_3                                0.411911922740504 	(obj:0)
f4_4                                0.663622581709409 	(obj:0)
f4_5                                -0.53320764266388 	(obj:0)
f5_0                                0.202951362363543 	(obj:0)
f5_1                                 0.19080619552602 	(obj:0)
f5_2                                0.557138062764532 	(obj:0)
f5_3                                0.162637013016239 	(obj:0)
f5_4                                0.765212468295238 	(obj:0)
f5_5                               -0.520215788891014 	(obj:0)
f6_0                               0.0208041345427632 	(obj:0)
f6_1                                0.192550944515639 	(obj:0)
f6_2                                0.745514198592546 	(obj:0)
f6_3                               -0.180025494327618 	(obj:0)
f6_4                                0.611793039314894 	(obj:0)
f6_5                               -0.617194265685932 	(obj:0)
f7_0                                0.261450183421886 	(obj:0)
f7_1                               -0.585295166464851 	(obj:0)
f7_2                               -0.435902996919558 	(obj:0)
f7_3                              -0.0389053377162247 	(obj:0)
f7_4                                0.630514333694929 	(obj:0)
f7_5                               -0.689302587942016 	(obj:0)
f8_0                                0.486544737379453 	(obj:0)
f8_1                                -0.13260845045313 	(obj:0)
f8_2                               -0.260151364156012 	(obj:0)
f8_3                              -0.0324291579232189 	(obj:0)
f8_4                                0.822775081573386 	(obj:0)
f8_5                               -0.592993638915618 	(obj:0)
f9_0                                0.371093205169786 	(obj:0)
f9_1                               -0.283029651655657 	(obj:0)
f9_2                               -0.541848664984335 	(obj:0)
f9_3                               -0.445544158248941 	(obj:0)
f9_4                                0.538585626185513 	(obj:0)
f9_5                               -0.588777835044614 	(obj:0)
f10_0                              -0.375477279047105 	(obj:0)
f10_1                              -0.523038354953514 	(obj:0)
f10_2                              -0.439953855287151 	(obj:0)
f10_3                              -0.387197271776345 	(obj:0)
f10_4                               0.491900976180403 	(obj:0)
f10_5                               -0.55874607006156 	(obj:0)
f11_0                               0.114898257084428 	(obj:0)
f11_1                               -0.38020408086899 	(obj:0)
f11_2                               0.317903287391169 	(obj:0)
f11_3                              -0.314025308074675 	(obj:0)
f11_4                               -0.80160392536796 	(obj:0)
f11_5                             -0.0248232882392578 	(obj:0)
f12_0                               0.244216651736722 	(obj:0)
f12_1                              -0.775310026805671 	(obj:0)
f12_2                             -0.0245248349055518 	(obj:0)
f12_3                               0.285834943173983 	(obj:0)
f12_4                              -0.506901892314109 	(obj:0)
f12_5                              -0.112545838912638 	(obj:0)
f13_0                              -0.262053661024839 	(obj:0)
f13_1                              -0.561396533701464 	(obj:0)
f13_2                               0.399746985976472 	(obj:0)
f13_3                               0.408140272101732 	(obj:0)
f13_4                              -0.538317449282316 	(obj:0)
f13_5                              -0.146086618393369 	(obj:0)
f14_0                              -0.414609361088828 	(obj:0)
f14_1                              -0.403312605413092 	(obj:0)
f14_2                             -0.0822219781677222 	(obj:0)
f14_3                               0.351151747182342 	(obj:0)
f14_4                              -0.731689836455435 	(obj:0)
f14_5                               0.125369778256911 	(obj:0)
f15_0                               0.465546047409419 	(obj:0)
f15_1                             -0.0807876079861219 	(obj:0)
f15_2                              -0.376084780658431 	(obj:0)
f15_3                               0.639182004246201 	(obj:0)
f15_4                              -0.476179423527935 	(obj:0)
f15_5                               0.168895827335615 	(obj:0)
